Name;PSNR;SSIM
Satelite_Molinos2_1024x1024;28,7925;0,6032
Satelite_Molinos3_1024x1024;28,1927;0,4963
Satelite_Molinos_1024x1024;27,7732;0,4394
Satelite_Urbano2_1024x1024;27,8079;0,1213
Satelite_Urbano3_1024x1024;27,7483;0,1168
Satelite_Urbano4_1024x1024;27,8040;0,1860
Satelite_Urbano_1024x1024;27,7683;0,2246
Satelite_Vegetacion2_1024x1024;27,8241;0,1947
Satelite_Vegetacion3_1024x1024;27,6498;0,1908
Satelite_Vegetacion_1024x1024;28,2900;0,1705
Satelite_Viales2_1024x1024;27,6674;0,1363
Satelite_Viales_1024x1024;28,1309;0,4357